RESPONDENT_NO,TIME,R2,R3,R4_1,DA1,DA2,DA3,SA1,SA2,SA3,DA4,DA5,DA6,DA7,DA8,DA9,DA10,DA11,DA12,DA13,DA14,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D2,D2_d,D3,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S1_7,S1_8,S2,S2_d,S3,S4,DN1_1,DN1_2,DN1_3,DN1_4,DN1_5,DN1_6,DN1_6d,SN1_1,SN1_2,SN1_3,SN1_4,SN1_5,SN1_6,SN1_6d,D,DN2,DN3_CD,DN4_CD,DN5_CD,DN3_ND,DN4_ND,DN5_ND,S,SN2_CS,SN3_CS,SN4_CS,SN5_CS,SN2_NS,SN3_NS,SN4_NS,SN5_NS,DC1,DC2,DC3,DC4,DC5,SC1,SC2,SC3,SC4,DC6,DC7,DC8,SC5,SC6,SC7,SC8,P1,P2,P3,P4,P5,P6,P7,P8,DI_CD,DI_ND,SI_CS,SI_NS,D4_1,D4_2,D4_3,D4_4,D4_5,D4_5d,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_6d,D6,D7,D7_1,D7_1_1,D7_1_2,D7_1_3,D7_1_4,D7_1_5,D7_1_6,D8,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S6_1,S6_2,S6_3,S6_4,S6_5,S6_6,S6_7,S6_7d,S7,S8,S9,S10,S11,CH1,CH2,CH2_1_1,CH2_1_2,CH2_2_1,CH2_2_2,CH2_2_3,CH2_2_4,CH2_2_4d,CH2_3,CH3,CH4,CH5,CH6,CK1,CK2,CK3,CK4,CK5,CK6,CK6_1,CK7,CK7_1,CK8,CK9,CK10,CK11,CK12,CK13,CK14,CK15,CK16,CK17,CK18,CK18_1,CK19,CK20,CK21,CK22,CK23,CK24,CK25,CK26,CK27,CD1,CD1_1,CD2,CD3,CD4,CD3_1,CD5,CD5_1,CD6,CD6_1,CD6_2,CD6_3,CD7,CD8,CD9,CD10,CD10_1,CD11,CD11_1,R4_2,R5,R6,R6_1,R6_2,R6_3,R6_4,R6_5,R7,RS,RS_2,DI_CD_NEW,SI_CS_NEW,DI_ND_NEW,SI_NS_NEW,D7_NEW,D7_1_NEW,CH1_NEW,CH2_NEW,CH2_3_NEW,CH3_NEW,CH4_NEW,CH5_NEW,CH6_NEW,CD1_NEW,CD3_NEW,CD5_NEW,CD6_NEW,CD8_NEW,CD9_NEW,CD10_NEW,CD11_NEW,R7_NEW
374,35,57,3,0,2,2,2,2,2,2,2,4,3,4,4,4,4,4,2,2,4,2,4,2,4,4,4,4,2,0,0,2,0,0,1,1,1,6,-1,-1,2,1,0,0,0,1,1,1,5,-1,-1,-1,0,0,0,0,2,0,-1,0,1,0,0,2,0,-1,ND,4,-1,-1,-1,4,1,1,NS,-1,-1,-1,-1,4,1,1,4,4,2,2,4,4,2,2,2,2,4,2,4,4,4,2,4,2,2,5,4,4,4,1,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,2,1,1,0,-1,1,2,1,2,1,0,0,0,0,0,1,0,1,-1,1,1,1,0,1,0,1,0,1,1,0,-1,1,1,1,1,1,0,0,1,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,7,1,1,5,-1,-1,0,2,2,16,-1,-1,0,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
375,53,48,5,0,3,4,3,1,4,1,3,1,3,2,3,2,2,2,2,4,4,2,4,2,4,4,4,4,2,0,2,1,0,1,1,1,1,2,-1,17,0,2,1,0,1,1,1,1,3,-1,17,10,2,1,0,1,1,0,-1,2,1,0,1,1,0,-1,CD,2,4,4,4,-1,-1,-1,CS,4,4,4,2,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,4,2,3,2,4,4,2,3,2,2,4,4,4,2,3,1,-1,1,-1,0,2,1,0,0,-1,1,2,0,1,1,0,-1,1,1,2,0,0,1,1,2,1,200,1,0,0,0,0,0,1,2,1,1,1,1,0,-1,1,125,4,4,2,2,1,1,2,2,1,1,0,-1,1,1,1,1,1,1,0,0,0,0,1,0,1,-1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,Maingay,2200,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,1,7,1,2,4,-1,-1,0,2,2,4,1,1,-1,-1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0
376,32,19,5,1,1,1,1,1,1,1,3,1,5,1,5,1,5,5,1,1,5,1,5,1,5,5,5,5,4,1,1,1,0,0,1,0,0,4,3,17,0,0,1,0,0,1,0,0,5,-1,-1,-1,1,1,1,1,1,1,-2,1,0,1,0,1,0,-1,ND,5,-1,-1,-1,4,5,5,NS,-1,-1,-1,-1,5,1,5,5,5,1,1,5,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,4,5,5,5,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,1,1,1,1,0,-1,2,1,1,1,1,0,0,0,0,1,1,1,1,-1,1,1,1,0,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,-1,2300,2,2,-1,2,-1,2,-1,-1,-1,0,2,2,2,-1,2,-1,2,6,4,-1,-1,1000,-1,0,2,1,-1,-1,-1,0,0,-1,-1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
377,30,52,5,0,1,4,5,1,4,1,5,5,2,2,4,3,2,1,1,1,3,1,3,4,5,5,3,3,1,0,0,0,0,0,0,0,0,4,-2,18,0,0,0,0,0,0,0,0,5,-1,-1,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,ND,1,-1,-1,-1,3,1,1,NS,-1,-1,-1,-1,1,1,1,5,5,5,1,5,5,1,3,3,1,5,5,5,1,5,4,5,1,5,2,5,4,5,1,5,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,2,0,-1,1,1,1,1,2,0,0,0,0,0,0,-1,1,-1,1,0,1,0,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,Noisy,200,1,5,napalayas sila,1,smoking,2,-1,-1,-1,0,1,1,2,-1,2,-1,1,8,5,-1,-1,-1,-1,0,2,1,-1,-1,-1,0,0,-1,-1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0
378,23,18,4,1,1,2,2,1,2,2,2,4,5,4,5,4,4,4,2,4,4,2,4,2,4,4,4,4,2,0,2,0,0,0,1,1,1,6,-1,-1,0,2,0,0,0,1,1,1,5,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,ND,5,-1,-1,-1,5,5,5,NS,-1,-1,-1,-1,5,1,5,5,4,2,1,4,2,2,2,1,2,4,4,5,4,5,4,4,4,2,4,2,4,2,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,0,0,0,0,0,0,-1,0,0,1,1,1,0,1,0,1,0,1,0,0,-1,1,1,1,1,1,0,0,0,0,1,-2,2200,2,2,-1,2,-1,2,-1,-1,-1,2,2,1,2,-1,2,-1,2,5,4,-1,-1,1000,-1,0,2,2,1,-1,-1,0,0,-1,-1,0,0,-1,0,1,1,0,1,0,0,0,0,1,0,0,0
379,31,50,11,4,1,1,1,1,1,1,1,3,2,2,2,3,5,4,5,1,5,5,4,4,5,5,5,3,5,0,0,0,0,1,1,0,1,1,-1,18,0,1,1,0,0,1,1,1,5,-1,-1,-1,1,1,1,1,1,1,-2,0,0,0,0,0,0,-1,ND,5,-1,-1,-1,5,5,5,NS,-1,-1,-1,-1,5,5,5,1,2,1,1,5,1,1,2,1,1,5,3,3,3,5,2,2,1,1,1,1,5,5,1,1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,0,0,0,0,0,0,-1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,-1,200,2,2,-1,2,-1,2,-1,-1,-1,2,1,1,2,-1,2,-1,2,7,5,-1,-1,-1,-1,0,1,2,4,-1,-1,0,0,-1,-1,0,0,-1,0,1,1,1,1,0,0,0,1,1,0,0,1
380,39,22,6,2,3,2,2,1,1,1,2,4,4,2,4,2,2,2,2,1,1,4,4,4,5,5,5,5,1,0,0,2,0,0,1,1,1,5,-1,18,0,0,2,0,0,1,0,1,5,-1,-1,-1,1,1,0,1,1,0,-1,0,1,0,0,1,0,-1,ND,5,-1,-1,-1,5,4,3,NS,-1,-1,-1,-1,5,5,2,4,5,2,1,2,4,1,1,1,1,4,1,5,4,1,2,4,2,2,3,2,5,4,1,4,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,1,0,-1,1,1,2,1,1,0,0,1,0,0,0,-1,1,-1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,-1,200,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,1,7,5,-1,-1,-1,-1,0,2,2,4,-1,-1,1,0,-1,-1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0
381,29,79,5,0,1,1,1,1,1,1,1,5,5,5,4,4,4,4,2,5,5,1,5,5,5,5,5,5,1,0,0,0,0,0,1,2,1,5,-1,17,0,0,0,0,0,2,1,1,4,456,17,20,2,1,1,1,0,0,-1,2,1,1,1,0,0,-1,ND,5,-1,-1,-1,5,1,1,NS,-1,-1,-1,-1,5,1,1,5,5,1,2,5,5,1,1,1,4,2,3,4,4,5,2,5,2,4,2,4,4,4,1,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,1,0,2,0,-1,1,1,2,1,1,0,1,0,0,0,0,-1,1,-1,1,1,1,1,1,0,1,0,1,1,0,-1,0,1,1,1,1,0,0,1,1,1,Maingay at nag-aaway,2400,1,0,Tumigil sila sa pag-inom,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,1,6,3,-1,-1,-1,5000,0,2,1,0,-1,-1,0,0,-1,-1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0
382,30,37,4,2,1,1,1,1,2,3,1,5,4,4,3,4,4,3,2,2,4,2,4,4,5,5,5,5,1,0,2,1,0,0,1,1,1,5,-1,20,0,0,2,0,1,1,1,1,2,-1,18,7,2,0,0,0,1,0,-1,0,0,0,0,0,0,-1,ND,5,-1,-1,-1,5,1,1,CS,5,1,4,5,-1,-1,-1,-1,4,2,1,4,3,2,3,4,3,5,2,4,4,4,2,4,4,2,4,2,4,2,1,4,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,2,0,0,1,0,0,-1,1,150,3,4,2,2,1,2,1,2,1,1,0,-1,1,1,1,1,1,0,0,0,0,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,2,2,-1,2,-1,2,5,2,-1,-1,-1,-1,15000,1,2,1,-1,1,0,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1
383,21,35,2,0,1,1,1,3,2,1,1,5,2,2,2,2,4,3,1,4,4,4,2,2,2,1,1,1,5,0,0,0,0,0,2,1,1,5,-1,14,0,0,1,0,0,2,1,1,3,-1,17,20,2,1,0,0,0,0,-1,2,1,1,0,1,0,-1,ND,4,-1,-1,-1,4,2,2,CS,2,2,2,3,-1,-1,-1,-1,4,3,3,4,4,5,4,4,4,4,4,4,1,2,1,2,3,4,2,4,4,2,1,4,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,1,0,2,0,0,0,-1,0,100,3,4,2,2,1,2,0,0,0,2,0,-1,2,1,2,2,1,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,2,-1,-1,1,2,Tumigil naman,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,1,4,1,1,5,-1,-1,100,1,2,2,-1,1,0,-1,-1,-1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
384,21,41,5,3,2,2,2,2,2,2,2,4,4,4,4,4,5,4,3,2,4,4,4,2,4,5,5,5,2,0,0,0,0,2,1,1,1,5,-1,30,0,0,0,0,2,1,1,1,5,-1,-1,-1,2,0,0,0,0,0,-1,0,2,0,0,0,0,-1,ND,4,-1,-1,-1,5,3,2,NS,-1,-1,-1,-1,5,2,2,5,4,1,1,4,4,4,2,2,2,4,3,5,3,2,1,3,2,2,2,4,4,4,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,0,0,0,2,0,-1,1,1,1,2,2,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,1,1,1,1,0,0,-1,1,1,0,0,1,0,0,0,0,1,"Maingay, amoy",2300,2,0,-1,1,amoy,2,-1,-1,-1,0,1,2,2,-1,2,-1,2,6,1,1,4,-1,-1,0,1,2,3,-1,-1,0,0,-1,-1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
385,59,31,3,1,4,3,4,1,1,1,3,3,3,2,2,2,2,2,3,3,4,2,5,2,5,5,5,5,1,0,2,1,0,0,1,1,1,1,-1,18,0,2,1,0,0,1,1,1,4,96,18,0,2,1,1,1,1,0,-1,2,0,0,0,1,0,-1,CD,4,4,4,5,-1,-1,-1,NS,-1,-1,-1,-1,5,1,2,5,5,4,4,5,4,1,1,1,1,3,3,3,4,4,4,4,4,2,2,4,4,4,2,4,1,-1,-1,2,2,1,1,1,0,-1,2,1,1,1,1,0,-1,15,1,2,0,1,0,1,2,1,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,2,2,0,0,0,-1,1,1,1,2,1,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,1,0,1,1,1,0,-1,1,1,1,1,1,1,1,0,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,2,2,-1,2,-1,1,7,1,2,3,-1,-1,0,1,2,4,1,-1,-1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
386,35,31,7,3,1,1,1,1,1,1,1,4,4,4,5,5,5,5,4,2,5,2,4,4,5,5,4,4,4,0,2,0,0,1,1,1,1,4,36,18,2,1,0,0,1,1,1,1,5,-1,-1,-1,0,0,0,0,2,0,-1,0,0,0,0,2,0,-1,ND,4,-1,-1,-1,4,1,1,NS,-1,-1,-1,-1,5,5,2,3,4,2,4,5,4,1,1,1,1,4,5,5,4,4,5,3,4,2,1,5,5,5,1,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,0,1,0,-1,1,2,2,2,2,0,0,0,0,0,0,-1,1,-1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,"magulo, maingay, may mga away",2400,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,6,2,-1,-1,-1,-1,0,2,1,-1,-1,-1,0,0,-1,-1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
387,22,18,6,3,2,3,2,1,3,1,2,3,2,2,4,4,3,2,2,2,4,2,5,2,5,5,5,5,1,2,1,0,0,0,1,1,1,5,-1,17,0,2,0,0,0,0,1,0,5,-1,-1,-1,2,1,0,0,1,0,-1,2,1,0,0,1,0,-1,CD,4,3,4,2,-1,-1,-1,NS,-1,-1,-1,-1,5,5,5,5,5,2,2,4,2,1,2,2,1,3,5,5,2,4,2,5,3,3,2,4,4,4,2,4,1,-1,-1,2,2,0,0,1,0,-1,2,0,0,0,1,0,-1,15,1,2,2,0,0,1,0,0,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,0,1,0,-1,2,2,2,2,1,0,0,0,0,0,1,1,1,-1,1,0,1,1,1,0,1,0,1,0,0,-1,1,1,1,1,1,0,0,0,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,2,2,-1,2,-1,2,4,4,-1,-1,500,-1,0,2,2,4,1,-1,-1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
388,30,69,2,0,2,3,2,2,2,2,2,3,2,4,5,2,4,3,2,2,5,1,5,1,5,5,5,5,1,0,2,1,0,0,1,1,0,6,-1,-1,0,2,1,0,0,1,1,1,5,-1,-1,-1,2,0,1,0,0,0,-1,2,0,1,0,0,0,-1,ND,5,-1,-1,-1,4,1,1,NS,-1,-1,-1,-1,5,1,1,4,5,2,2,4,3,2,2,2,1,5,2,5,5,5,4,4,1,2,2,4,5,5,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,-1,1,-1,1,0,1,0,1,0,1,0,1,1,0,-1,1,1,1,1,1,0,0,1,0,1,"maingay, away",100,2,0,-1,1,"may sakit, asthma",1,dahil sa sakit,tapat ng bahay,sinasagot ng mga estudyanteng naninigarilyo,365,2,2,2,-1,2,-1,2,5,3,-1,-1,-1,2000,0,1,1,-1,-1,-1,0,0,-1,-1,1,0,-1,1,1,1,1,1,0,1,1,0,0,0,0,1
389,29,30,4,0,3,3,3,1,1,1,1,1,2,3,5,3,3,2,2,3,3,3,3,3,3,1,4,4,4,0,0,0,0,0,2,0,1,1,-1,21,0,0,0,0,0,2,0,1,2,-1,24,4,2,1,1,1,1,0,-1,2,1,1,1,1,0,-1,CD,3,3,1,4,-1,-1,-1,CS,4,1,4,1,-1,-1,-1,-1,5,3,1,5,4,3,3,3,2,3,1,4,4,4,4,3,2,1,1,3,3,4,1,4,1,-1,1,-1,2,0,0,0,0,-1,0,0,0,0,0,1,Bar,60,1,2,0,0,0,0,2,1,500,2,0,0,0,0,0,0,2,0,0,0,0,0,-1,1,80,4,4,1,2,1,2,0,2,0,0,0,-1,2,2,1,1,1,0,0,0,0,0,1,1,1,-1,1,0,1,0,1,0,1,1,1,0,0,-1,1,1,1,1,1,0,0,0,1,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,7,1,2,5,-1,-1,0,2,1,-1,1,1,-1,-1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0
390,21,53,3,0,1,3,4,1,1,1,1,3,3,1,2,2,3,3,1,4,4,1,5,2,4,4,4,4,2,0,2,1,0,1,1,1,1,6,-1,-1,0,2,0,0,0,1,1,1,5,-1,-1,-1,2,0,0,0,0,0,-1,0,0,0,0,0,0,-1,ND,2,-1,-1,-1,5,5,5,NS,-1,-1,-1,-1,5,1,1,5,4,2,3,4,4,4,1,5,4,5,2,4,5,4,1,5,2,2,4,4,2,2,1,1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,0,0,0,2,0,-1,2,2,1,2,2,0,0,0,0,0,0,-1,1,-1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,7,2,-1,-1,-1,-1,0,2,2,3,-1,-1,0,0,-1,-1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
391,50,36,5,2,3,3,3,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,4,4,4,5,2,2,2,1,1,2,0,0,1,1,1,1,-1,16,0,0,0,0,0,2,1,1,2,-1,23,1,2,1,1,1,1,0,-1,2,1,1,1,1,0,-1,CD,4,2,1,5,-1,-1,-1,CS,5,2,2,5,-1,-1,-1,-1,5,3,2,4,4,2,4,4,2,4,2,4,5,5,1,3,4,4,2,4,4,5,2,4,1,-1,2,-1,2,0,0,0,1,Tanduay Ice,1,2,0,1,0,0,-1,3,2,-1,-1,-1,-1,-1,-1,-1,100,2,0,0,0,0,0,0,2,0,0,0,0,0,-1,1,5,4,4,1,2,1,1,0,0,0,2,0,-1,1,1,1,1,1,0,0,0,0,0,0,-1,1,-1,1,0,1,0,1,0,1,0,1,1,0,-1,1,1,1,1,1,0,0,0,1,1,"Pag lagpas 10pm, maingay",2200,1,1,Away,1,Mabaho usok para sa mga bata (anak niya),2,-1,-1,-1,0,2,2,1,0,2,-1,1,7,1,1,5,-1,-1,-2,2,2,1,1,0,-1,-1,0,-1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
392,23,23,1,0,2,3,1,1,1,1,2,2,2,3,4,5,4,3,3,1,1,1,5,2,5,5,5,4,1,0,2,0,0,1,1,1,1,1,-1,17,0,0,0,0,0,2,0,1,4,84,17,1,2,1,1,1,1,0,-1,2,1,1,1,1,0,-1,CD,5,5,1,5,-1,-1,-1,NS,-1,-1,-1,-1,5,5,5,5,3,4,1,5,5,3,1,5,1,3,1,4,5,5,3,5,1,3,1,4,5,5,1,5,1,-1,-1,2,2,0,0,0,0,-1,1,2,0,1,0,0,-1,2,2,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,0,1,0,0,0,-1,1,2,1,1,1,0,0,0,0,0,1,0,1,-1,1,1,1,0,1,0,1,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,-2,2200,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,7,1,2,5,-1,-1,-2,1,1,-1,1,-1,-1,0,0,-1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
393,24,27,2,0,1,1,1,1,1,1,1,2,2,4,4,3,4,3,3,2,4,1,5,1,5,5,5,5,1,0,2,0,0,0,1,1,1,5,-1,22,0,2,1,0,0,1,1,1,5,-1,-1,-1,2,1,1,1,1,0,-1,2,1,1,1,1,0,-1,ND,5,-1,-1,-1,5,5,4,NS,-1,-1,-1,-1,5,5,4,5,5,1,1,3,3,2,1,1,1,4,4,5,5,4,4,5,3,2,2,4,5,4,1,5,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,0,0,0,0,0,1,0,1,-1,1,1,1,0,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,Maingay,2000,2,0,-1,1,Amoy ng usok at yung filter kung san san lang tinatapon,1,Binubuga usok sa harapan ko,Nung bumili sa tindahan,Di pinansin/deadma,1,1,2,2,-1,2,-1,1,8,1,2,2,-1,-1,-2,1,1,-1,-1,-1,0,0,-1,-1,1,0,-1,0,1,1,1,1,0,1,1,1,0,0,0,1
394,28,59,6,2,1,2,1,1,1,1,2,4,4,4,3,4,4,4,4,2,4,2,4,2,5,5,5,5,2,0,2,0,0,0,1,1,1,6,-1,-1,0,2,0,0,0,1,1,1,1,-1,26,1,2,1,1,1,1,0,-1,2,1,1,1,1,0,-1,ND,4,-1,-1,-1,5,5,1,NS,-1,-1,-1,-1,5,5,5,5,5,1,1,3,3,1,2,2,4,4,4,4,4,4,3,3,1,3,2,4,4,4,2,3,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,0,1,1,1,0,0,-1,1,1,1,1,1,0,0,0,0,1,Maingay at magulo,2300,2,0,-1,1,Risk ng smoke at makalat,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,8,1,2,4,-1,-1,-2,1,2,2,-1,-1,0,0,-1,-1,1,0,-1,0,1,0,1,1,0,1,0,1,1,0,0,1
